Film name,Genre,Plot,Directed by,Written by,Story by,Produced by,Starring,Cinematography,Edited by,Music by,Production company,Distributed by,Release date,Running time,Budget,Box office
Sinbad and the Eye of the Tiger,Monster,"In the kingdom of Charak, a celebration is taking place for the coronation of Prince Kassim, but Kassim's evil stepmother, Zenobia, places a curse on him just as he is going to be crowned Caliph. Sinbad, a sailor and Prince of Baghdad, moors at Charak some time later, intent on seeking permission from Prince Kassim to marry Kassim's sister, Princess Farah, but finds the city under curfew. Sinbad and his men are offered hospitality by a man named Rafi, but during their meal one of Sinbad's crew is poisoned and the rest are attacked by Rafi, who is Zenobia's son. Sinbad defeats him, but Zenobia summons a trio of ghouls, which attack Sinbad and his men. Sinbad disposes of the ghouls by crushing them under a pile of huge logs.
Sinbad meets with Farah, who believes that Kassim's curse is one of Zenobia's spells, and unless Kassim is cured within seven moons, then Zenobia's son Rafi will become caliph instead. Sinbad, Farah and Sinbad's crew set off to find the old Greek alchemist Melanthius, a hermit on the island of Casgar, who is said to know how to break curses, and Farah brings with her a huge prehistoric baboon, who is really Kassim, transformed by Zenobia's curse. Zenobia and Rafi follow in a boat propelled by the Minoton, a magical bronze automaton created by the sorceress with the appearance of a minotaur.
Sinbad and Farah land at Casgar and find Melanthius and his daughter Dione, who agree to help them. Melanthius says they must travel to the land of Hyperborea where the ancient civilization of the Arimaspi once existed. On the way to Hyperborea, Kassim enjoys having Dione's company and develops a love interest towards her.
Zenobia uses a potion to transform herself into a seagull to spy on Sinbad. Once aboard his ship, she turns into a miniature human and listens as Melanthius tells Sinbad how to cure Kassim. Alerted by Kassim, Melanthius and Sinbad capture Zenobia. Unfortunately, her potion vial spills and a wasp ingests some of it. The wasp grows to enormous size and attacks the two men, but Sinbad kills it. Zenobia uses her remaining potion to become a seagull again and fly back to her own ship, but with not enough potion left, the lower part of her right leg remains a seagull's foot.
After a long voyage, Sinbad's ship reaches the north polar wastelands. Sinbad and his crew trek across the ice to the land of the Arimaspi, but are attacked by a giant walrus. It destroys most of their supplies and kills two men, but Sinbad and the others fend it off with spears. Zenobia uses an ice tunnel to reach the land of the Arimaspi, and she, Rafi and the Minoton climb subterranean stairs to emerge in the warm, Mediterranean-like valley above.
Sinbad and his crew also reach the valley. While resting, they encounter a troglodyte, an 8-foot-tall (2.4 m), fur-covered caveman with a single horn on the top of its head. The troglodyte proves not dangerous, but rather friendly. The adventurers name him Trog for short, and he leads them to the giant pyramidal shrine of the Arimaspi. Zenobia and Rafi arrive at the shrine first, but as she has no key to enter, Zenobia orders the Minoton to remove a block of stone from the pyramid's wall. He succeeds, but the block crushes the Minoton and destabilizes the pyramids structure and thus the shrine's power.
Sinbad and his friends arrive minutes later and enter the shrine's main chamber, the interior of which is covered in ice and is guarded by ""The Guardian of the Shrine"", a smilodon frozen in a block of ice. Zenobia orders Rafi to attack Melanthius and is about to stab Dione with a knife, but Rafi is attacked by Kassim and is killed falling down the temple stairs. Momentarily overcome with grief, Zenobia cradles her son while Sinbad and Melanthius raise Kassim into the column of light at the top of the shrine, which breaks the spell on him. Seeing Kassim restored to human form, Zenobia transfers her spirit into the smilodon. Breaking free of its icy prison, the giant tiger attacks the group, but Trog engages the smilodon in combat wielding Minoton's spear. Initially gaining the upper hand, Trog is disarmed, overcome and killed. Sinbad and his men fight against the beast, but find themselves outmatched. The smilodon attacks Sinbad, who impales it on Minoton's spear, killing both it and Zenobia. The adventurers flee the temple as it collapses, becoming buried in snow and ice as the Mediterranean-like atmosphere disappears and is replaced by the freezing polar winds.
Sinbad, Kassim, Farah, Melanthius and Dione return home just in time for Kassim to be crowned Caliph. Amidst the celebration, the film fades to black and the eyes of Zenobia appear on the screen.",Sam Wanamaker,"Ray Harryhausen (story),/ Beverley Cross (screenplay)",,Charles H. Schneer/ Ray Harryhausen,Patrick Wayne/ Taryn Power/ Margaret Whiting/ Jane Seymour/ Patrick Troughton,"Ted Moore, B.S.C.",Roy Watts,Roy Budd,,Columbia Pictures,12 August 1977,113 min.,$3.5 million or $3 million,$20 million
Siren (2016 film),Monster,"One week before his wedding day, Jonah and his groomsmen hit the town for his stag party, hosted by his irresponsible brother Mac. Attempting to be more original, Mac takes them to Garden City instead of a typical party location hoping for a wild night, and instead they wind up at a lackluster strip club. Visibly disappointed at his efforts, Mac attracts the attentions of a stranger who tells him about an underground moving club that promises to surpass all expectations.
Reluctantly, Jonah agrees to go, but the long drive to 50 north/40 west through a dark forest unnerves the group, as does the club when they finally arrive. The patrons and dancers almost convince the group to leave until the club owner, Mr. Nyx, comes out to personally welcome and see to their entertainment. Upon hearing that Jonah wants a non-cheating experience, Nyx takes him into another room and tells him to go to the window at the end while his groomsmen pay. He asks from each of the three men their favorite memories of their mothers. At the window, Jonah sees a nude young woman on the other side of the glass who begins singing. Jonah suddenly relives all the sexual encounters he has ever had at once. Meanwhile, at the main bar, one of the groomsmen, Elliot, has a custom drink with a leech in it and suddenly experiences the memory of murdering someone, after which both Mac and Rand realize they all have matching marks on the back of their necks.
After leaving the window, Jonah hears the girl ask him not to leave and sees that the door to the room is padlocked from the outside. Fearing that the girl is a sex slave, Jonah gets Rand, tells the others to get to the car, and the two break the lock and let her out using the swiss army knife that Jonah gave them as groomsmen gifts. While attempting to sneak out of the club, the three get waylaid by guards and hide in a bathroom. Once there, the girl uses the keys she stole from one of the guards to open a shackle around her ankle, then brutally kills the guard that followed them, revealing claws and a long tail. Jonah and Rand run for the car and the four drive away, only for the girl to suddenly land on the roof and cause them to crash.
While the girl grabs Elliot and drags him off, Nyx and his posse arrive and kidnap Rand as Jonah and Mac escape. Back at the club, Nyx questions Rand, asking why they released ""Lilith"" before allowing the brother of the murdered guard to torture him. Out in the woods, Jonah and Mac desperately try to find Elliot while arguing over who is to blame for the way the night has gone. Jonah realizes that the girl had sniffed him after being released, and had gone after Elliot because he has been wearing his jacket. The two attempt to cover their scent, managing to escape and find their way to a diner patroned by a pair of cops. They desperately try to describe the past few hours and the cops cuff them, Mac noticing in alarm that they have the same mark on the backs of their necks, realizing that they work for Nyx. The girl arrives at the diner and starts to sing, entrancing the cop with Jonah who quickly puts in his headphones to drown her out, watching as she murders both cops. Chasing him through the diner, the girl reveals a demonic face, announcing ""I like you"" before grabbing Jonah and flying away.
Back at the club, Nyx orders one of his minions, who appears to be some sort of Gorgon, to take a very injured Rand's memories of being tortured, hunt down Jonah, and give them to him. The minion does this by taking a medusa-like leech from her head and inserting into then removing it from the mark on the back of his neck, revealing what had happened earlier when paying for Jonah's session and what had happened with Elliot, implying that part of Nyx's business is selling people memories.
Back with Jonah, he and the girl land in a quarry, and after a few attempts to escape, she rapes him while singing, again creating a fantasy of him having sex with his fiance, Eva, and then forms her tail into a penile shape and inserts into his rectum to make him impregnate her. When he comes back to himself, Jonah runs from the now sleeping girl and makes it back to his hotel room where the minion is waiting for him. She forces him to drink the leech she took earlier and Jonah relives Rand's torture and the memory of Nyx speaking directly to him and offering a trade; the girl for Rand. All he has to do is go to a church and the girl will follow him. Jonah agrees and follows the minion to the church.
Once there, a few things become clearer. The girl, Lily, is actually a demon from hell (a succubus to be exact) that was summoned years ago, imprisoned by Nyx, and forced to become a sex slave. Lily had become infatuated with Jonah because he was kind and helped her escape. Succubi mate for life and Lily wants him to stay with her, killing anyone who gets in her way. The church is the location where she was originally summoned and Nyx needs Jonah to lure her into a rune circle and reattach the shackle around her ankle to bind her to his will again, as he is the only person she will not kill.
Lily arrives and hesitantly steps into the circle. Jonah apologizes to Lily he made a mistake when he released her, letting her know he was not aware it was a trap. To Nyx's anger, Jonah makes a new deal with Lily; he will not put the shackle on if she will let Jonah go. Lily agrees, and proceeds to slaughter Nyx and his henchmen, while Jonah grabs a seriously injured Rand. Mac arrives and sacrifices himself saving his brother from a vengeful Nyx. Lily kisses Jonah goodbye, and watches from above the church doors while Jonah and Rand leave.
A year later, Jonah and Eva are married. Eva states that she wants to start their special evening soon because she is getting sleepy as she takes a drink of her wine.  They make love on their anniversary. Jonah goes to get a glass of water afterwards and sees Eva asleep on the couch, realizing that he had made love to Lily and not Eva. Jonah attempts to get Lily to leave and almost succeeds, until Eva notices Lily and starts to scream, whereupon Lily starts to attack her. Jonah begs her to stop and says he will go with her. Lily grabs Jonah and they fly off into the night, Eva hysterically screaming after them.",Gregg Bishop,Ben Collins/ Luke Piotrowski,,Gary Binkow/ Jude S. Walko/ Brad Miska,Chase Williamson/ Justin Welborn/ Michael Aaron Milligan/ Hayes Mercure/ Randy McDowell/ Hannah Fierman,George Feucht,Gregg Bishop,Kristopher Carter,,Chiller Films,,82 minutes,,
Skeeter (film),Monster,"Drake is a corrupt and greedy developer who is illegally dumping toxic waste into the mines around the small town of Clear Sky, causing mosquitoes to mutate into giant beasts that attack and kill anything, including humans. A lawman of the town sheriff, Roy Boone, and his reunited love Sarah Crosby, must put a stop to both the pollution and the bugs. The body counts keep rising, which causes the locals to feel that they have to move out of the city. Crosby and environmental inspector Gordon Perry try to find the origin of the waste, but certain people try to prevent them for doing so due to Drake's evil deeds, which involves some hitmen.",Clark Brandon,Clark Brandon (writer)/ Lanny Horn (writer)/ Joseph Luis Rubin (original screenplay),,James Glenn Dudelson/ John Lambert/ Kelly Andrea Rubin/ Don Edmonds/ Sanford Hampton,Jim Youngs/ Tracy Griffith,,Ed Hansen,David Lawrence,,New Line Cinema,1993,95 minutes,,
Slapface,Monster,"Lucas and his neglectful older brother Tom live alone in a rundown home after the death of their mother, who took them away from their abusive father. They play a ""game"" called Slapface, which involves them slapping each other violently in the face, and Lucas's only ""friends"" are Donna, Rose and Moriah, a trio of female bullies.
One day, Lucas is forced by the trio to explore an abandoned house by the trio for ""stalking"" Moriah, who he has a crush on. He encounters a monster named Virago, and he befriends it over the course of several days.",Jeremiah Kipp,Jeremiah Kipp,,Mike Manning/ Artisha Mann Cooper/ Joe Benedetto,August Maturo/ Mike Manning/ Libe Barer/ Dan Hedaya,Dominick Sivilli,Katie Dillon,Barry J. Neely,,Shudder/ Epic Pictures Group,,85 minutes,,"$29,256"
Sleepwalkers (1992 film),Monster,"Charles Brady and his mother/lover Mary are sleepwalkers, nomadic shapeshifting energy vampires who feed off the lifeforce of virgin women. Though they normally maintain a human form, they can transform into human-sized bipedal werecats, their natural form, at will. They have powers of both telekinesis and illusion. Domestic cats are their only weakness, and the two species are mutually hostile. Cats see through their illusions and violently attack them, inflicting severe to fatal wounds on them with their claws and teeth.
Charles and Mary live in Travis, a small Indiana town, having recently fled Bodega Bay, California after draining and killing a young girl there. Charles attends the local high school, and meets Tanya Robertson in his creative writing class. Charles feigns romantic interest in Tanya in order to take her lifeforce for himself and his starving mother. Their teacher, Mr. Fallows, is suspicious about Charles and tells him that his older high school certificates were fakes; he also physically assaults Charles, but Charles kills him.
On their first date, at a picnic at a nearby cemetery, Charles attempts to drain Tanya's lifeforce while kissing her. Tanya tries frantically to ward off Charles by bashing his head with her camera, scratching his face, and plunging a corkscrew into his left eye, though nothing she does seems to cause Charles more than temporary discomfort.
Deputy Sheriff Andy Simpson is driving by the cemetery. When Tanya flees to him for help, Charles kills Simpson. When Charles resumes feeding off Tanya, the deputy's cat, Clovis, enraged by his master’s death, violently scratches him in the face and chest. Mortally wounded, Charles staggers back home to his mother, who is able to make both of them invisible, and thus keep Charles from being arrested when the police storm their house. Clovis and a small number of other cats begin to gather outside, only kept at bay by the leghold traps the Sleepwalkers have set.
Knowing that the only way for her dying son to survive is to feed, Mary attacks the Robertson household, killing several deputies and state troopers and severely wounding Tanya's parents. She kidnaps Tanya and takes her back to her house. Charles is near death, but Mary revives him, and Charles makes a final attempt to drain Tanya's life force. However, Tanya plunges her fingers into his eyes, killing him. Tanya escapes with the help of the sheriff, whom Mary later impales on the picket fence surrounding the house. The cats that have been gathering around their house, led by Clovis, jump on Mary and claw and bite her until she bursts into flames and dies. Tanya hugs Clovis, her savior, as the other cats depart, leaving Mary's body lying ablaze on her former driveway.",Mick Garris,Stephen King,,Michael Grais/ Mark Victor/ Dimitri Logothetis/ Nabeel Zahid,Brian Krause/ Mädchen Amick/ Alice Krige,Rodney Charters,Nicholas Brown,Nicholas Pike,,Columbia Pictures,"April 10, 1992",91 minutes,$15 million,$30.5 million
Slender Man (film),Monster,"In a small town in Massachusetts, four friends—Wren, Hallie Knudsen, Chloe, and Katie Jensen—summon the Slender Man. A week later, Katie disappears, and the other three girls go to her house to look for clues. The three discover that Katie had been involved in the occult and that she had been in contact, online, with a girl who told her how to contact Slender Man. Katie, being unhappy living alone with her alcoholic father, wanted the Slender Man to take her.
After talking to the same girl Katie had, the three girls decide to make contact with the Slender Man in an attempt to get Katie back in exchange for something that they love. Wren brings some handmade pottery, Chloe a picture of her and her dad before he died and Hallie brings her little sister Lizzie’s blanket, made by their grandmother. Wren, who has researched Slender Man mythology, warns Hallie and Chloe not to open their eyes while the three are making contact with the Slender Man for fear of death or madness. Chloe panics, opens her eyes, and comes face to face with the Slender Man. Sometime later, the Slender Man enters Chloe's house and drives her insane.
Wren, suffering from frightening visions, searches for a solution while Hallie unsuccessfully attempts to move on. Soon, Lizzie, Hallie's younger sister, suffers a major panic attack and is sent to the hospital and sedated. Hallie discovers Wren had attempted to come into contact with the Slender Man again, with the help of Lizzie.
Hallie confronts Wren about her sister. Wren tells Hallie that the sacrifices they gave Slender Man were not enough; Slender Man only wants the girls and won’t stop until he takes them. Suddenly, the window breaks and Wren is wrapped in tree branches, taken by Slender Man. Hallie, realizing that the only way to save Lizzie is to give herself to the Slender Man, sacrifices herself for her sister. Lizzie is able to recover and reflects on the situation that resulted in the death of her sister and her sister's friends.",Sylvain White,David Birke,,Gunther Russ/ Kerstin Ramcke/ Robyn Meisinger/ Sarah Snow/ Jim Young/ James Vanderbilt,Joey King/ Julia Goldani Telles/ Jaz Sinclair/ Annalise Basso/ Javier Botet,Luca Del Puppo,Jake York,Ramin Djawadi/ Brandon Campbell,,Sony Pictures Releasing,"August 10, 2018",100 minutes,$10–28 million,$51.7 million
The Slime People,Monster,"The film concerns a race of subterranean reptile-men (dubbed ""slime people"", due to their slime-covered skin) who create a wall of ""solidified fog"" around Los Angeles using a strange organic-looking machine and proceed to invade the city after they are driven out of their subterranean homes by underground atomic tests. A pilot (portrayed by Hutton) lands in Los Angeles after some flight difficulties and finds the city almost deserted. He later encounters other survivors, including a Marine separated from his unit, and a scientist and his two daughters, and the group try their best to halt the further invasion of the slime people who are attempting to use the fog to not only isolate the city but also to lower the surface temperature enough to let them function at all hours of the day. Eventually, near the end of the film, the survivors find that while the slime people are otherwise immune to conventional weapons due to their body's ability to quickly seal wounds, the creatures can be killed with their own spear weapons as they are hollow and prevent the wounds they inflict from closing properly. They also realize the reason the plane from the beginning of the film was able to land was due to the chemical making the fog reacting with the salt from the ocean water thus preventing the section near the sea from solidifying. With these facts in mind, the survivors then attempt to escape the city using several buckets of a saltwater solution to try and make a hole through the fog wall, however, when this fails due to them not having enough of the solution the group instead opts to destroy the machine generating the fog. With the machine destroyed, the fog quickly disperses allowing the military to enter the city and causing the slime people to die off from the rapid rise in temperature.",Robert Hutton,"Blair Robertson, Vance Skarstedt",,Joseph F. Robertson,Robert Hutton/ Les Tremayne/ Robert Burton,William Trolano,Don Henderson/ Lew Guinn,Lou Foman,,Donald J. Hansen Enterprises,1963,76 minutes,"$56,000 (estimated)",
Slugs (1988 film),Monster,"When a rural town becomes prey to a strain of black slugs spawned from the disposal of toxic waste, it is up to the local health inspector to stop them. People die mysteriously and gruesomely, and only health worker Mike Brady has a possible solution, but his theory of killer slugs is ridiculed by the authorities. Only when the body count begins to rise and a slug expert begins investigating the town does it begin to appear as though Brady's theory may be right.",Juan Piquer Simón,,,"José Antonio Escrivá, Francesca DeLaurentiis, Juan Piquer Simón",Michael Garfield/ Kim Terry,Julio Bragado,Richard Rabjohn/ Antonio Gimeno,,,New World Pictures,"February 5, 1988 (United States)",91 minutes,,
Smile (2022 film),Monster,"At a psychiatric ward, psychiatrist Dr. Rose Cotter meets with Laura Weaver, who had several days earlier witnessed her art history professor commit suicide in front of her. Laura states she is being pursued by an entity that takes the form of people smiling at her, and that it told her she is going to die. She begins to have a mental breakdown and convulses after saying the entity has appeared in the seemingly empty room. Rose turns away and calls for help. When she turns back around, she finds Laura unnervingly smiling at her, before cutting her own throat with a piece of broken vase.
Following the suicide, Rose witnesses Carl, another patient smiling at her, shouting that she is going to die. She orders for Carl to be restrained, but suddenly sees that Carl was asleep the whole time. Concerned for Rose's mental well-being, her supervisor Dr. Morgan Desai gives her a paid week off. 
The supernatural occurrences continue, severely harming Rose's relationships with her fiancé Trevor and her sister Holly, who believe she is going insane. Rose has had a strained relationship with Holly ever since the death of their abusive and mentally ill mother, who overdosed and whose body was discovered by a young Rose. At her nephew's birthday party, Rose's wrapped toy train gift has somehow been replaced by her dead cat, which disappeared the night before. Rose then sees a party attendant smiling at her, invisible to others.
Discovering that Laura's professor was smiling at her during his death, Rose pays a visit to his widow Victoria, who claims that her husband started acting differently after witnessing a woman die by suicide. Rose visits her ex, Joel, a police detective who had responded to Laura's death. Going through police records, they find a chain of cases where someone suffered apparently supernatural hauntings before killing themselves, smiling, and passing the hauntings on to a witness.
Joel discovers that none of the cursed victims lasted longer than a week, except Robert Talley, who is in prison for killing a stranger. Rose and Joel visit Talley in jail, where he explains that the only way to break the chain is to kill someone else in front of a witness to whom the curse will transfer.
The entity later assumes the form of Rose's therapist, Dr. Madeline Northcott, and attacks Rose in her home during an impromptu therapy session, telling her that it is ""almost time."" Later on in the hospital parking lot, Rose has a dream of murdering Carl in front of Desai, who rips the skin off his face as Carl mockingly screams at the distressed Rose. After spotting a knife inside an erratic Rose's car, Desai alerts the police, believing that she is a danger to herself. Rose drives to her remote, abandoned former family home as Joel tries to track her down. 
Planning to deprive the demon of witnesses, Rose holes up in the house where she finds the demon having taken the form of her dead mother. It is revealed that Rose had actually found her mother shortly after overdosing; Rose witnessed her mother's death throes, but without intervening. Rose confronts the entity, who morphs into a tall, deformed version of Rose's mother. She sets the entity on fire with a gas lantern, seemingly killing it and ending the curse as the house burns down around them. Rose drives to Joel's apartment and is comforted by him, until she realizes the entity is taking his form. As she flees, Rose discovers that she is still at the old house just as the real Joel arrives – everything that happened from the moment she entered the house was a hallucination.
Panicking, Rose locks herself in the house. The entity appears and rips off its own face, revealing its true form – a skinless, long-necked creature with nested jaws – before opening Rose's mouth and disturbingly forcing itself into her body. Joel breaks into the house, eventually finding Rose, who has doused herself in kerosene. Rose turns to face him, smiling, and sets herself on fire in front of him, passing the curse to Joel.",Parker Finn,Parker Finn,,Marty Bowen/ Wyck Godfrey/ Isaac Klausner/ Robert Salerno/ Gabby Olivera,Sosie Bacon/ Jessie T. Usher/ Kyle Gallner/ Kal Penn/ Rob Morgan,Charlie Sarroff,Elliot Greenberg,Cristobal Tapia de Veer,,Paramount Pictures,,115 minutes,$19 million,$203 million
Snakehead Terror,Monster,"Snakehead fish invade Cultus Lake in the small town of Cultus, Maryland, although the town's police department poisons the lake, seemingly killing all of the fish. Two years later, bodies begin showing up in the lake, with town Sheriff Patrick James temporarily closing off the lake. After unseen creatures eat Patrick's daughter, Amber's boyfriend James, and James' friend, the bodies are inspected, and local doctor Jenkins gives Patrick a tooth he found in one of the bodies. Patrick attempts to convince the town's mayor to shut down the lake as the town suffers from economic troubles.
Marine biologist Lori Dale soon arrives in town to help Patrick determine the cause of the recent deaths. Lori identifies the creatures as unusually large snakeheads. She theorizes that something in the lake is causing the snakeheads to grow in size. After more deaths occur, Lori discovers the snakeheads have been drugged with human growth hormones to make them larger. A fisherman soon captures one of the snakeheads, further convincing the mayor that the lake should not be closed, believing that the captured snakehead was the only one. While Patrick and Lori head out on the lake to find the source of the hormones, Amber convinces her friends Jagger, Luke, and Craig to help her kill the snakeheads to avenge James.
Patrick and Lori find an overturned boat on the lake and encounter the snakeheads. They attempt to head back to shore, only to find Jenkins' brother Colin pouring something into the lake. Colin flees as they attempt to catch him, and Lori discovers that the liquid Colin poured into the lake was a human growth hormone. On Craig's boat, Amber, Jagger, Luke, and Craig discover that the snakeheads are cannibals and commonly eat the juvenile fish. They begin to follow some fish, only to almost collide with two fishermen on another boat. The snakeheads attack the two boats and eat Craig and one of the fishermen, while Luke is knocked overboard, and Jagger accidentally kills the other fisherman by shooting his boat's gas tank, blowing it up. Amber and Jagger then crash the boat on an island in the middle of the lake and become stranded. They try to call the police, although they have no reception. They then find Luke washed up on the island, alive.
Patrick and Deputy Reece sneak into Jenkins' lab to search for anything suspicious. They find a receipt for 5,000 units of human growth hormone. They arrest Jenkins, and he reveals that he put the hormones into the lake to increase the fish population for Colin's bait shop after the poisoning process occurred, not knowing the snakeheads were still in the lake. On the island, Amber, Jagger, and Luke find a cabin and a half-devoured man inside. Luke goes further and finds a snakehead devouring a woman. The snakehead attacks Luke, injuring his leg, although Amber kills it with an axe.
Patrick soon finds out that Amber is on the lake, and he and Lori head out to rescue her, with Lori bringing an electric stick that she plans to use to kill the snakeheads. However, the snakeheads ram the boat, causing Lori to accidentally render the controls useless with the stick, causing them to crash into a dock on the island. They see a giant, whale-sized snakehead before heading onto the island. In the meantime, Colin digs a hole to bury the hormone packages, only to be killed by the snakeheads. Meanwhile, snakeheads attack Amber, Jagger, and Luke in the house, although they manage to kill several, and their screams help Patrick and Lori find them, although Luke is still killed.
Patrick and Lori arrive outside the house and give Amber and Jagger directions to escape while they reach an electrical shed, planning to electrocute all of the snakeheads in the lake. Lori goes to rescue Amber and Jagger, and the three girls kill all of the remaining snakeheads at the cabin before Patrick knocks down an electric cable. When Lori, Amber, and Jagger arrive at the dock, Lori dumps the cable into the water, electrocuting and killing the remaining snakeheads. Patrick, Lori, Amber, and Jagger embrace as the fried snakehead bodies burn in the water.",Paul Ziller,,Patrick J. Vitale,,Bruce Boxleitner/ Carol Alt/ William B. Davis/ Chelan Simmons,Mark Dobrescu,,Ken Williams,,,,92 minutes,,
Snow Beast,Monster,"A snowboarder at a Canadian ski lodge is enjoying the slopes when he finds himself in an unfamiliar isolated forest area. He attempts to find his way back but is followed and killed by a large beast. A few days later, wildlife researcher Jim Harwood and his resentful daughter Emmy, along with his research team of Rob and Marci, travel to the Canadian ski lodge as part of a study on the annual patterns of the Canadian lynx.
After arriving, Jim, Rob, and Marci find that the lynxes in the area seem to be missing. The trio sets up cameras, and a man stops at a mountain roadside to urinate, and the creature, revealed to be a Yeti, kills him. At the same time, a local ranger, Barry, begins tracking the recent disappearances of tourists in the area, localized around the lodge. As Jim, Rob, and Marci set up their cameras through the woods to capture lynx activity, two other tourists are hiking and killed by the Yeti.
The following day, Jim, Marci, Rob, and Emmy go into the forest to check the cameras. Near a camera, they encounter huge footprints in the snow. They return to their cabin, but nothing definitive is on the camera footage. That night while asleep in the cabin, a loud growling outside awakens the four. Checking the area in the morning, they find a destroyed snowmobile. Marci reports the attack to the ranger station nearby, and Barry records the incident along with others in the cluster of nearby disappearances. Ranger Gibbons is skeptical of any abnormal beast in the area.
Reviewing some of the remote camera feed footage from the cabin, Rob finds that one of the cameras has gone down. He and Jim leave on the remaining snowmobile to fix it, bringing a tranquilizer gun, while Emmy stays at the cabin and watches the cameras, communicating via walkie-talkies. Around this time, Rangers Barry and Gibbons leave to search the wooded area. While doing so, they are ambushed and killed by the Yeti. Elsewhere in the forest, Rob works on getting the downed camera up and running again with Emmy's help. He falls into a nearby cavern dug out in the snow, and Jim joins him in the pit, which ends up being a cavern of ice caves. When they find the body of the missing snowboarder, they leave in a panic just before the Yeti returns to its home. It chases Rob and Jim, but they narrowly escape in the snowmobile.
That night, Jim decides that they are all leaving the following morning after reporting the snowboarder's body. Marci disagrees and sneaks out in the early morning with the tranquilizer gun and a camera, leaving in Jim's truck. She stops to take some pictures and stumbles upon the Yeti eating one of its kills. It chases her and smashes her violently into the hood of Jim's truck, killing her and damaging the truck. When the others wake, Jim notices Marci's boots and equipment gone and searches for her by himself. Emmy radios to him when she sees the Yeti dragging Marci's body through the snow. Jim then encounters the Yeti himself and is attacked.
Emmy tries to convince Rob to help her search for her father, but night has nearly fallen. The Yeti attacks the cabin once the sun has set and breaks inside. Rob and Emmy barricade themselves in a bedroom with a dresser while the Yeti trashes the cabin before finally leaving. In the morning, Emmy manages to convince Rob to help her search for her father as he knows the location of the Yeti's den. He agrees, and they devise a distraction to lure the Yeti away. Rob manages to shoot the Yeti with tranquilizers, which downs him long enough for Rob and Emmy to enter the den. They find Jim barely alive when the yet returns. Rob sacrifices himself, allowing Jim and Emmy to escape and the Yeti kills him then chases after Jim and Emmy. Jim cannot outrun the Yeti, so he shoots a flare into the snow-covered mountainside. He and Emmy take cover from the subsequent avalanche behind a thick tree, and the Yeti is buried in the snow. Jim and Emmy make it out alive and are seen later at home, where they reminisce about how no one will ever believe them. In a final scene, two hikers are coming up to a large snowdrift, and the Yeti bursts from the snow and attacks them.",Brian Brough,Brittany Wiscombe,,Brian Brough/ Anthony Straga/ Brittany Wiscombe,John Schneider/ Jason London/ Danielle Chuchran/ Paul D. Hunt/ Kari Hawker,,,,,Silver Peak Productions,"October 4, 2011",,,
Snow Shark,Monster,"On February 6, 1999, a team of three biologists, led by Professor Jonathan Hoffman, investigate a series of supposed wildlife killings in a wooded area near a small New York town. One of the biologists, Bianca, suspects that the killings may have something to do with a recent earthquake. When Hoffman and the other biologist, Gabriel, go off to investigate the wildlife disappearances, they discover the corpse of a mutilated deer. Upon returning to the campsite, they find that Bianca has discovered a hole in the ground. From this, the group determines that a prehistoric creature that has been frozen for thousands of years was freed by the earthquake, and has been killing the wildlife. The creature appears and kills both Gabriel and Bianca, leaving Hoffman to deduce that it is a ""snow shark"" before it attacks him.
Twelve years later, the snow shark has become a town legend. The town's mayor, Shawn Overman, is informed when two residents are killed by the shark, and he and Sheriff Donald Chapman hold a town meeting. During the meeting, one of the residents, Mike Evans, claims that the killings were caused by the shark, despite him having said to have killed the creature seven years earlier. Against Chapman's warnings, he sets out to kill the shark once and for all. That night, Chapman and his son Ethan get into an argument. Ethan leaves to drink beer outside with his friend Doug, and is killed by the shark while urinating. The next day, with the rest of the police force already at the scene, a distraught Chapman sees Ethan's corpse and questions Doug about the incident. When Doug claims that Ethan's death was caused by a shark, Chapman believes him and becomes determined to kill it.
Cryptozoologist Lincoln Anderson, biologist Wendy Gardner, and hunter Cameron Caine visit the town and have a brief meeting with Overman to discuss capturing the shark. With six of his friends, armed with guns, Mike ventures into the forest to hunt the shark. The shark kills everyone in the party except for Mike. Following this, Chapman, Lincoln, Wendy, and Cameron make their way into the woods, armed with a miniature crossbow, a shotgun, and a motion-sensing camera. They set up the camera on a tree and depart. At the town bar, Professor Hoffman enters, having gone into hiding and now wearing an eyepatch. Later, he and a grieving Mike drink beers.
When Lincoln finds that the camera has not detected any motion, the group sets out into the forest once more. Wendy is dragged away by the shark and killed. The shark attacks Cameron, and Chapman shoots Cameron in the head. Hoffman and Mike soon join up with Chapman and Lincoln. Hoffman plans to start a large fire to attract the shark, as he surmises that the heat will confuse it, but it kills him before he can do so. The shark bites off Mike's legs, and Chapman and Lincoln flee. Mike pulls the pin on a hand grenade, causing both him and the shark to explode. After reporting the incident to the police station, Chapman and Lincoln see multiple shark fins in the snow and escape. Later, a woman named Daphne approaches Ethan's grave to lay a wreath, and a shark fin approaches her as she walks out of the graveyard.",Sam Qualiana,Sam Qualiana,,Richard Chizmar/ Marc Makowski/ Greg Lamberson,Sam Qualiana/ Michael O'Hear/ Kathy Murphy/ C. J. Qualiana/ Jackey Hall,Sam Qualiana,Brett Piper/ Mark Polonia,Michael Girard Paul,,Independent Entertainment,,79 minutes,"$7,000 (estimated)",
